id,new,old,radical,strokes,grade,year_added,Unnamed: 7,translation
594,広,廣,广,5,2,,,étendue
595,甲,,田,5,S,,,la partie A (par exemple dans un contrat)
596,交,,亠,6,2,,,interligues
597,光,,儿,6,2,,,lumière
598,向,,口,6,3,,,face à
599,后,,口,6,6,,,impératrice
600,好,,女,6,4,,,bon
601,江,,水,6,S,,,baie
602,考,,老,6,2,,,pensée
603,行,,行,6,2,,,rangée
604,坑,,土,7,S,,,puits (en particulier dans une mine)
605,孝,,子,7,6,,,piété filiale
606,抗,,手,7,S,,,anti-
607,攻,,攴,7,S,,,infraction
608,更,,曰,7,S,,,un cinquième de la nuit (environ 2 heures)
609,効,效,力,8,5,,,l'efficacité
610,幸,,干,8,3,,,bonheur
611,拘,,手,8,S,,,entraves
612,肯,,肉,8,S,,,consentement
613,侯,,人,9,S,,,marquis
614,厚,,厂,9,5,,,l'épaisseur
615,恒,恆,心,9,S,,,constante
616,洪,,水,9,S,1981.0,,inondation
617,皇,,白,9,6,,,le père (décédé) de l'actuel empereur
618,紅,,糸,9,6,,,rouge
619,荒,,艸,9,S,,,rude
620,郊,,邑,9,S,,,banlieue
621,香,,香,9,S,,,encens
622,候,,人,10,4,,,météo
623,校,,木,10,1,,,"preuve (d'un livre, d'un document, etc.)"
624,耕,,耒,10,5,,,culture
625,航,,舟,10,4,,,voile
626,貢,,貝,10,S,,,hommage
627,降,,阜,10,6,,,descendant
628,高,,高,10,2,,,montant d'argent
629,康,,广,11,4,,,Kou
630,控,,手,11,S,,,"ne pas écrire à quelqu'un ou ne pas lui rendre visite (par exemple, au domicile de quelqu'un)"
631,梗,,木,11,S,2010.0,,tige
632,黄,黃,黃,11,2,,,jaune
633,喉,,口,12,S,2010.0,,gorge
634,慌,,心,12,S,,,se dépêcher
635,港,,水,12,3,,,port
636,硬,,石,12,S,,,dureté
637,絞,,糸,12,S,,,essoreuse (vêtements)
638,項,,頁,12,S,,,clause
639,溝,,水,13,S,1981.0,,fossé
640,鉱,鑛,金,13,5,,,minerai
641,構,,木,14,5,,,le mûrier à papier (Broussonetia papyrifera)
642,綱,,糸,14,S,,,ceinture tressée du grand champion
643,酵,,酉,14,S,,,enzyme
644,稿,,禾,15,S,,,projet
645,興,,臼,16,5,,,intérêt
646,衡,,行,16,S,,,joug
647,鋼,,金,16,6,,,acier
648,講,,言,17,5,,,association d'assistance mutuelle (c'est-à-dire pour l'assistance financière)
649,購,,貝,17,S,,,achat
650,乞,,乙,3,S,2010.0,,mendicité
651,号,號,虍,5,3,,,nombre
652,合,,口,6,2,,,un dixième de la distance entre la base et le sommet d'une montagne
653,拷,,手,9,S,,,torture
654,剛,,刀,10,S,,,dur
655,傲,,人,13,S,2010.0,,"(après un nom, un adjectif, un mot onomatopéique-mimétique, etc."
656,豪,,豕,14,S,,,Australie
657,克,,儿,7,S,,,maîtrise
658,告,,口,7,4,,,avis
659,谷,,谷,7,2,,,vallée
660,刻,,刀,8,6,,,temps
661,国,國,囗,8,2,,,pays
662,黒,黑,黑,11,2,,,noir
663,穀,穀,禾,14,6,,,céréales
664,酷,,酉,14,S,,,injuste
665,獄,,犬,14,S,,,prison
666,骨,,骨,10,6,,,os
667,駒,,馬,15,S,2010.0,,poulain
668,込,,辵,5,S,,,nid d'oiseau
669,頃,,頁,11,S,2010.0,,autour de
670,今,,人,4,2,,,cette
671,困,,囗,7,6,,,problème
672,昆,,日,8,S,1981.0,,"kun (un des trigrammes du Yi King : terre, sud-ouest)"
673,恨,,心,9,S,,,Je regrette que
674,根,,木,10,3,,,"racine (d'une dent, d'un cheveu, etc.)"
675,婚,,女,11,S,,,se faufiler la nuit dans la chambre d'une femme
676,混,,水,11,5,,,mixte
677,痕,,疒,11,S,2010.0,,"cicatrice (par exemple, à la suite d'une opération ou d'une injection)"
678,紺,,糸,11,S,,,bleu marine
679,魂,,鬼,14,S,,,âme
680,墾,,土,16,S,,,nouveau
681,懇,,心,17,S,,,courtois
682,左,,工,5,1,,,gauche
683,佐,,人,7,S,,,colonel (JSDF)
684,沙,,水,7,S,2010.0,,sable
685,査,,木,9,5,,,examen
686,砂,,石,9,6,,,sable
687,唆,,口,10,S,,,instigation
688,差,,工,10,4,,,différence
689,詐,,言,12,S,,,escroquerie
690,鎖,,金,18,S,,,chaînes
691,座,,广,10,6,,,"s'attache aux noms des théâtres, des troupes théâtrales et des constellations"
692,挫,,手,10,S,2010.0,,entorse
693,才,,手,3,2,,,talent
694,再,,冂,6,5,,,deutéro
695,災,,火,7,5,,,catastrophe
696,妻,,女,8,5,,,épouse
697,采,,釆,8,S,2010.0,,mourir
698,砕,碎,石,9,S,,,familier (informel) (style de discours)
699,宰,,宀,10,S,,,fonctionnaire du gouvernement
700,栽,,木,10,S,,,plantation
701,彩,,彡,11,S,,,couleur
702,採,,手,11,5,,,"la cueillette (par ex. champignons, etc.)"
703,済,濟,水,11,6,,,réglée
704,祭,,示,11,3,,,festival
705,斎,齋,齊,11,S,,,cadeau de félicitations
706,細,,糸,11,2,,,détail
707,菜,,艸,11,4,,,légumes
708,最,,曰,12,4,,,les plus
709,裁,,衣,12,6,,,juge
710,債,,人,13,S,,,dette
711,催,,人,13,S,,,"organiser (une réunion, un événement, etc.)"
712,塞,,土,13,S,2010.0,,blocage
713,歳,,止,13,S,,,compteur d'années (suivant un numéro dans le système de comptage hito-futa-mi)
714,載,,車,13,S,,,10^44
715,際,,阜,14,5,,,temps
716,埼,,土,11,S,2010.0,,petite péninsule
717,在,,土,6,5,,,pays
718,材,,木,7,4,,,Matière (première)
719,剤,劑,刀,10,S,,,agent
720,財,,貝,10,5,,,biens
721,罪,,网,13,5,,,crime
722,崎,,山,11,S,1981.0,,cap (sur la côte)
723,作,,人,7,2,,,"œuvre (livre, film, composition, etc.)"
724,削,,刀,9,S,,,"raser (par exemple, un budget, des dépenses, un salaire, etc.)"
725,昨,,日,9,4,,,dernière (année)
726,柵,,木,9,S,2010.0,,clôture
727,索,,糸,10,S,,,corde
728,策,,竹,12,6,,,politique
729,酢,,酉,12,S,,,vinaigre
730,搾,,手,13,S,,,compression
731,錯,,金,16,S,,,récurage
732,咲,,口,9,S,,,floraison (en particulier des cerisiers en fleurs)
733,冊,,冂,5,6,,,volume
734,札,,木,5,4,,,carte
735,刷,,刀,8,4,,,l'impression
736,刹,,刀,8,S,2010.0,,pagode
737,拶,,手,9,S,2010.0,,Sardinelle japonaise (Sardinella zunasi)
738,殺,殺,殳,10,4,,,meurtre
739,察,,宀,14,4,,,police
740,撮,,手,15,S,,,prendre une photo
741,擦,,手,17,S,,,gratter
742,雑,雜,隹,14,5,,,miscellanées (classification de la poésie japonaise)
743,皿,,皿,5,3,1981.0,,plat
744,三,,一,3,1,,,trois
745,山,,山,3,1,,,montagne
746,参,參,厶,8,4,,,trois (utilisé dans les documents juridiques)
747,桟,棧,木,10,S,1981.0,,revêtement (sous la toiture en chaume)
748,蚕,蠶,虫,10,6,,,ver à soie (Bombyx mori)
749,惨,慘,心,11,S,,,terrible
750,産,,生,11,4,,,propriété
751,傘,,人,12,S,1981.0,,parapluie
752,散,,攴,12,4,,,pièces de monnaie
753,算,,竹,14,2,,,bâtons de sourcier
754,酸,,酉,14,5,,,acide
755,賛,贊,貝,15,5,,,inscription (sur un tableau)
756,残,殘,歹,10,4,,,restant
757,斬,,斤,11,S,2010.0,,décapitation
758,暫,,日,15,S,,,courte période
759,士,,士,3,4,,,guerrier (en particulier les militaires des daimyos à l'époque d'Edo)
760,子,,子,3,1,,,"(dans le bouillon) morceaux de viande, de légumes, etc."
761,支,,支,4,5,,,compteur pour le revêtement (sous la toiture en chaume)
762,止,,止,4,2,,,(après le radical -masu d'un verbe) s'est arrêté au milieu de
763,氏,,氏,4,4,,,Monsieur
764,仕,,人,5,3,,,fonction publique
765,史,,口,5,4,,,l'histoire (par exemple celle d'un pays)
766,司,,口,5,4,,,office (département gouvernemental en dessous d'un bureau dans le système ritsuryo)
767,四,,囗,5,1,,,quatre
768,市,,巾,5,2,,,marché
769,矢,,矢,5,2,,,flèche
770,旨,,日,6,S,,,liste
771,死,,歹,6,3,,,la mort
772,糸,絲,糸,6,1,,,fil
773,至,,至,6,6,,,...
774,伺,,人,7,S,,,visiter
775,志,,心,7,5,,,volonté
776,私,,禾,7,6,,,moi
777,使,,人,8,3,,,messager
778,刺,,刀,8,S,,,écharde (notamment logée dans la chair)
779,始,,女,8,3,,,"premier (dans la file d'attente, etc.)"
780,姉,,女,8,2,,,utilisé après le nom d'une personne qui est une grande sœur
781,枝,,木,8,5,,,branche
782,祉,祉,示,8,S,,,"compteur de navires, bateaux, navires qui naviguaient dans la mer du Japon pendant la période Edo"
783,肢,,肉,8,S,1981.0,,argent
784,姿,,女,9,6,,,chiffre
785,思,,心,9,2,,,pensée
786,指,,手,9,3,,,doigt
787,施,,方,9,S,,,charité
788,師,,巾,10,5,,,enseignant
789,恣,,心,10,S,2010.0,,complaisant
790,紙,,糸,10,2,,,papier
791,脂,,肉,10,S,,,Résine (tabac)
792,視,視,見,11,6,,,visuel
793,紫,,糸,12,S,,,pourpre
794,詞,,言,12,6,,,mots
795,歯,齒,齒,12,3,,,dent
796,嗣,,口,13,S,,,héritier
797,試,,言,13,4,,,procès
798,詩,,言,13,3,,,poème
799,資,,貝,13,5,,,sa position
800,飼,,食,13,5,,,l'élevage
801,誌,,言,14,6,,,magazine
802,雌,,隹,14,S,,,femelle
803,摯,,手,15,S,2010.0,,sincérité
804,賜,,貝,15,S,,,cadeau
805,諮,,言,16,S,,,consultation
806,示,,示,5,5,,,indication
807,字,,子,6,1,,,"le ... mot (c'est-à-dire ""le mot L"" = ""amour"")"
808,寺,,寸,6,2,,,temple (bouddhiste)
809,次,,欠,6,3,,,suivant
810,耳,,耳,6,1,,,lisière (bord usiné non effiloché des tissus)
811,自,,自,6,2,,,de ...
812,似,,人,7,5,,,s'occupe de (sa mère)
813,児,兒,儿,7,4,,,(après un nom ou un radical -masu) -er (souvent pour les jeunes femmes)
814,事,,亅,8,3,,,travail
815,侍,,人,8,S,,,guerrier (en particulier les militaires des daimyos à l'époque d'Edo)
816,治,,水,8,4,,,guérir
817,持,,手,9,3,,,tenir
818,時,,日,10,2,,,temps de -
819,滋,,水,12,S,,,shigeru (variété de riz)
820,慈,,心,13,S,,,charité
821,辞,辭,辛,13,4,,,remarque
822,磁,,石,14,6,,,magnétisme
823,餌,,食,15,S,2010.0,,alimentation
824,璽,,玉,19,S,,,sceau de l'empereur
825,鹿,,鹿,11,S,2010.0,,cerf
826,式,,弋,6,3,,,formule
827,識,,言,19,5,,,la conscience
828,軸,,車,12,S,,,axe
829,七,,一,2,1,,,sept
830,𠮟,,口,5,S,2010.0,,avertissement
831,失,,大,5,4,,,perte
832,室,,宀,9,2,,,serre
833,疾,,疒,10,S,,,"début ... jours (par exemple, ""début de l'automne"")"
834,執,,土,11,S,,,attachement
835,湿,濕,水,12,S,,,humidité
836,嫉,,女,13,S,2010.0,,jalousie
837,漆,,水,14,S,,,laque
838,質,,貝,15,5,,,qualité
839,実,實,宀,8,3,,,"(dans le bouillon) morceaux de viande, de légumes, etc."
840,芝,,艸,6,S,,,gazon
841,写,寫,宀,5,3,,,copie
842,社,社,示,7,2,,,dieu régional chinois de la terre (ou un village construit en son honneur)
843,車,,車,7,1,,,véhicule
844,舎,舍,舌,8,5,,,hutte
845,者,者,老,8,3,,,-er (c'est-à-dire un homme qui passe son temps à faire...)
846,射,,寸,10,6,,,flèche
847,捨,,手,11,6,,,écarter
848,赦,,赤,11,S,,,"(après un radical -masu, en particulier d'un verbe suru) continuant"
849,斜,,斗,11,S,,,oblique
850,煮,煮,火,12,S,,,ragoût
851,遮,,辵,14,S,1981.0,,"bloc (par exemple, lumière, vent)"
852,謝,,言,17,5,,,"(reçu) faveur, bonté ou bénédiction (faveur)"
853,邪,,邑,8,S,,,méchant
854,蛇,,虫,11,S,1981.0,,serpent
855,尺,,尸,4,6,,,distance entre le pouce et le majeur tendus (environ 18 cm)
856,借,,人,10,4,,,dette
857,酌,,酉,10,S,1981.0,,verser de l'alcool
858,釈,釋,釆,11,S,,,exorcisme
859,爵,,爪,17,S,,,la pairie (titre héréditaire conféré par l'empereur)
860,若,,艸,8,6,,,enfant (en particulier le jeune fils d'une personne de rang social élevé)
861,弱,,弓,10,2,,,les faibles
862,寂,,宀,11,S,,,(entrer dans) le nirvana
863,手,,手,4,1,,,main (de cartes)
864,主,,丶,5,3,,,"chef (de famille, etc.)"
865,守,,宀,6,3,,,protection
866,朱,,木,6,S,,,rouge
867,取,,又,8,3,,,dernier artiste de la journée (usu. l'artiste vedette)
868,狩,,犬,9,S,,,chasse
869,首,,首,9,2,,,tête
870,殊,,歹,10,S,,,autres
871,珠,,玉,10,S,,,"perle (de sueur, de rosée, etc.)"
872,酒,,酉,10,3,,,l'alcool
873,腫,,肉,13,S,2010.0,,tumeur
874,種,,禾,14,4,,,Espèces (biologiques)
875,趣,,走,15,S,,,effet
876,寿,壽,士,7,S,,,longévité
877,受,,又,8,3,,,vedana (sensation)
878,呪,,口,8,S,2010.0,,mantra
879,授,,手,11,5,,,enseignement
880,需,,雨,14,S,,,demande
881,儒,,人,16,S,,,Confucianiste
882,樹,,木,16,6,,,arbre
883,収,收,攴,4,6,,,culture en cocon
884,囚,,囗,5,S,,,prisonnier
885,州,,巛,6,3,,,État
886,舟,,舟,6,S,,,navire
887,秀,,禾,7,S,,,superlativité
888,周,,口,8,4,,,compteur de tours ou de circuits
889,宗,,宀,8,6,,,secte
890,拾,,手,9,3,,,dix (utilisé dans les documents juridiques)
891,秋,,禾,9,2,,,automne
892,臭,臭,自,9,S,,,le glissement de
893,修,,人,10,5,,,réparation
894,袖,,衣,10,S,2010.0,,manchon
895,終,,糸,11,3,,,fin
896,羞,,羊,11,S,2010.0,,embarras
897,習,,羽,11,3,,,la vie telle qu'elle est normalement
898,週,,辵,11,2,,,semaine
899,就,,尢,12,6,,,inauguration
900,衆,,血,12,6,,,le peuple
901,集,,隹,12,3,,,collection
902,愁,,心,13,S,,,solitude
903,酬,,酉,13,S,,,récompense
904,醜,,酉,17,S,,,laideur
905,蹴,,足,19,S,2010.0,,coup de pied
906,襲,,衣,22,S,,,les couches de vêtements portées sous le manteau
907,十,,十,2,1,,,dix
908,汁,,水,5,S,1981.0,,jus
909,充,,儿,6,S,,,suffisance
910,住,,人,7,3,,,vivant
911,柔,,木,9,S,,,douceur
912,重,,里,9,3,,,important
913,従,從,彳,10,6,,,inférieur
914,渋,澁,水,11,S,,,jus astringent (de kakis non mûrs)
915,銃,,金,14,S,,,pistolet
916,獣,獸,犬,16,S,,,bête
917,縦,縱,糸,16,6,,,(tissage) chaîne
918,叔,,又,8,S,,,oncle (frère cadet du père)
919,祝,祝,示,9,4,,,célébration
920,宿,,宀,11,3,,,domicile
921,淑,,水,11,S,,,dame
922,粛,肅,聿,11,S,,,solennité
923,縮,,糸,17,6,,,compteur pour les armures
924,塾,,土,14,S,1981.0,,juku
925,熟,,火,15,6,,,en profondeur
926,出,,凵,5,1,,,diplômé de ...
927,述,,辵,8,5,,,déclaration (d'un argument logique soigneusement raisonné)
928,術,,行,11,5,,,méthode
929,俊,,人,9,S,,,génie
930,春,,日,9,2,,,printemps
931,瞬,,目,18,S,,,instantané
932,旬,,日,6,S,,,période de dix jours
933,巡,,巛,6,S,,,"compteur de tours, de cycles, de rondes, de circuits, etc."
934,盾,,目,9,S,,,bouclier
935,准,,冫,10,S,,,associer
936,殉,,歹,10,S,,,martyr
937,純,,糸,10,6,,,pur
938,循,,彳,12,S,,,patrouille
939,順,,頁,12,4,,,commande
940,準,,水,13,5,,,associer
941,潤,,水,15,S,,,l'humidité
942,遵,,辵,15,S,,,obéissant
943,処,處,虍,5,6,,,point
944,初,,刀,7,4,,,premier
945,所,,戶,8,3,,,(après la forme passée d'un verbe) était en train de faire
946,書,,曰,10,2,,,document
947,庶,,广,11,S,,,les gens ordinaires
948,暑,暑,日,12,3,,,mi-été
949,署,署,网,13,6,,,poste (en particulier un poste de police)
950,緒,緖,糸,14,S,,,cordon
951,諸,諸,言,15,6,,,divers
952,女,,女,3,1,,,femme
953,如,,女,6,S,,,comme
954,助,,力,7,3,,,assistant
955,序,,广,7,5,,,commande
956,叙,敍,攴,9,S,,,description
957,徐,,彳,10,S,,,Xu (dynastie de Chine ; peut-être mythologique)
958,除,,阜,10,6,,,l'éloignement
959,小,,小,3,1,,,petit
960,升,,十,4,S,,,"loge (place assise dans un théâtre, etc.)"
961,少,,小,4,2,,,petit
962,召,,口,5,S,,,appel
963,匠,,匚,6,S,,,artisan
964,床,,广,7,S,,,plancher
965,抄,,手,7,S,,,extraire
966,肖,,肉,7,S,,,portrait
967,尚,,小,8,S,1981.0,,en outre
968,招,,手,8,5,,,invitation
969,承,,手,8,5,,,deuxième ligne d'un poème chinois de quatre lignes
970,昇,,日,8,S,,,ascendant (chemin)
971,松,,木,8,4,,,pin (Pinus spp.)
972,沼,,水,8,S,,,tourbière
973,昭,,日,9,3,,,"Shou (dynastie de Chine, environ 1804-1813)"
974,宵,,宀,10,S,1981.0,,début de nuit
975,将,將,寸,10,6,,,général
976,消,,水,10,3,,,extinction
977,症,,疒,10,S,,,maladie
978,祥,祥,示,10,S,,,bon présage
979,称,稱,禾,10,S,,,nom
980,笑,,竹,10,4,,,LOL.
981,唱,,口,11,4,,,défense des droits
982,商,,口,11,3,,,Shang (dynastie de Chine)
983,渉,涉,水,11,S,,,(au Japon) 10e note de l'ancienne gamme chromatique (environ si)
984,章,,立,11,3,,,chapitre
985,紹,,糸,11,S,,,introduction
986,訟,,言,11,S,,,contentieux
987,勝,,力,12,3,,,gagner
988,掌,,手,12,S,,,paume (de la main)
989,晶,,日,12,S,,,cristal
990,焼,燒,火,12,4,,,trempe
991,焦,,火,12,S,,,jiao (unité monétaire de la Chine ; un dixième de yuan)
992,硝,,石,12,S,,,nitre (verre)
993,粧,,米,12,S,,,maquillage
994,詔,,言,12,S,,,édit impérial
995,証,證,言,12,5,,,témoigner (habituellement dans un contexte religieux chrétien)
996,象,,豕,12,4,,,phénomène
997,傷,,人,13,6,,,gratter
998,奨,奬,大,13,S,,,encouragement
999,照,,火,13,4,,,lumière
1000,詳,,言,13,S,,,détails
1001,彰,,彡,14,S,,,éloge
1002,障,,阜,14,6,,,obstacle
1003,憧,,心,15,S,2010.0,,désir
1004,衝,,行,15,S,,,point important (par exemple sur un itinéraire)
1005,賞,,貝,15,4,,,prix
1006,償,,人,17,S,,,réparation
1007,礁,,石,17,S,,,récif
1008,鐘,,金,20,S,,,carillon
1009,上,,一,3,1,,,"premier volume (par exemple, un livre)"
1010,丈,,一,3,S,,,longueur (en particulier pour les vêtements)
1011,冗,,冖,4,S,,,inutilité
1012,条,條,木,7,5,,,(période Edo) compteur de centaines de mon (unité monétaire obsolète)
1013,状,狀,犬,7,5,,,lettre
1014,乗,乘,丿,9,3,,,(nième) puissance
1015,城,,土,9,6,,,château
1016,浄,淨,水,9,S,,,propreté
1017,剰,剩,刀,11,S,,,De plus
1018,常,,巾,11,5,,,toujours
1019,情,,心,11,5,,,la réalité des choses
1020,場,,土,12,2,,,"domaine (d'études, etc.)"
1021,畳,疊,田,12,S,,,tapis de tatami
1022,蒸,,艸,13,6,,,vapeur
1023,縄,繩,糸,15,S,1981.0,,corde de gendarme
1024,壌,壤,土,16,S,1981.0,,sol
1025,嬢,孃,女,16,S,,,(d'après un nom) Mademoiselle
1026,錠,,金,16,S,,,serrure
1027,譲,讓,言,20,S,,,transfert
1028,醸,釀,酉,20,S,,,brassage
1029,色,,色,6,2,,,variété
1030,拭,,手,9,S,2010.0,,essuyage
1031,食,,食,9,2,,,"éclipse (solaire, lunaire, etc.)"
1032,植,,木,12,3,,,plantation
1033,殖,,歹,12,S,,,augmenter
1034,飾,,食,13,S,,,décoration
1035,触,觸,角,13,S,,,contact
1036,嘱,囑,口,15,S,,,confier (à)
1037,織,,糸,18,5,,,tissage
1038,職,,耳,18,5,,,position
1039,辱,,辰,10,S,,,embarras
1040,尻,,尸,5,S,2010.0,,cul
1041,心,,心,4,2,,,esprit
1042,申,,田,5,3,,,"neuvième signe du zodiaque chinois (Le Singe, 17h-19h, ouest, août)"
1043,伸,,人,7,S,,,élongation
1044,臣,,臣,7,4,,,Je (utilisé par un serviteur lorsqu'il s'adresse à son maître)
1045,芯,,艸,7,S,2010.0,,noyau
1046,身,,身,7,3,,,"la viande (par opposition aux os, à la peau, etc.)"
1047,辛,,辛,7,S,,,8e rang
1048,侵,,人,9,S,,,invasion
1049,信,,人,9,4,,,confiance
1050,津,,水,9,S,,,port
1051,神,神,示,9,3,,,dieu
1052,唇,,口,10,S,1981.0,,lèvres
1053,娠,,女,10,S,,,grossesse
1054,振,,手,10,S,,,manière de se balancer
1055,浸,,水,10,S,,,immersion
1056,真,眞,目,10,3,,,vrai
1057,針,,金,10,6,,,aiguille
1058,深,,水,11,3,,,latence
1059,紳,,糸,11,S,,,gentleman
1060,進,,辵,11,3,,,(devant un verbe à la forme négative) (ne sera pas) facilement
1061,森,,木,12,1,,,forêt
1062,診,,言,12,S,,,examen médical
1063,寝,寢,宀,13,S,,,dormir
1064,慎,愼,心,13,S,,,vérité - exactitude
1065,新,,斤,13,2,,,nouveau
1066,審,,宀,15,S,,,"l'instance (par exemple, première instance, deuxième instance, etc.)"
1067,震,,雨,15,S,,,"zhen (un des trigrammes du Yi King : tonnerre, est)"
1068,薪,,艸,16,S,,,bois de chauffage
1069,親,,見,16,2,,,parent
1070,人,,人,2,1,,,"-ian (par exemple, italien, etc.) (s'attache au nom du pays)"
1071,刃,,刀,3,S,,,lame
1072,仁,,人,4,6,,,la bienveillance (notamment en tant que vertu du confucianisme)
1073,尽,盡,皿,6,S,,,"sur la base (d'un consentement mutuel, etc.)"
1074,迅,,辵,6,S,,,impétuosité
1075,甚,,甘,9,S,1981.0,,甚甚 (l'un des six pouvoirs bouddhistes supranormaux)
1076,陣,,阜,10,S,,,bataille
1077,尋,,寸,12,S,,,sonder
1078,腎,,肉,13,S,2010.0,,rein
1079,須,,頁,12,S,2010.0,,"compteur pour les petits objets ronds tels que les grains, les graines, les pilules, les gouttes d'eau, etc."
1080,図,圖,囗,7,2,,,diagramme
1081,水,,水,4,1,,,"l'eau (en particulier l'eau fraîche, par exemple l'eau potable)"
1082,吹,,口,7,S,,,"joueur (de musique, d'instrument, etc.)"
1083,垂,,土,8,6,,,banderole de papier en forme de zigzag souvent utilisée pour orner les objets liés au shintoïsme
1084,炊,,火,8,S,,,cuisine
1085,帥,,巾,9,S,,,directeur du Dazaifu
1086,粋,粹,米,10,S,,,le meilleur
1087,衰,,衣,10,S,,,déclin
1088,推,,手,11,6,,,"le genre policier (film, roman, etc.)"
1089,酔,醉,酉,11,S,,,ivresse
1090,遂,,辵,12,S,,,fin
1091,睡,,目,13,S,,,dormir
1092,穂,穗,禾,15,S,,,pointe
1093,随,隨,阜,12,S,,,comme on nous le dit (par)
1094,髄,髓,骨,19,S,,,moelle
1095,枢,樞,木,8,S,,,cavités dans le cadre d'une porte utilisées comme partie d'une charnière pivotante
1096,崇,,山,11,S,,,révérence
1097,数,數,攴,13,2,,,nombre
1098,据,,手,11,S,1981.0,,reporter (à un autre)
1099,杉,,木,7,S,1981.0,,Cèdre du Japon (Cryptomeria japonica)
1100,裾,,衣,13,S,2010.0,,manchette (de pantalon)
1101,寸,,寸,3,6,,,"soleil (environ 3,03 cm)"
1102,瀬,瀨,水,19,S,,,bas-fonds
1103,是,,日,9,S,,,"this (indiquant un élément proche du locuteur, l'action du locuteur ou le sujet en cours)"
1104,井,,二,4,S,,,bien
1105,世,,一,5,3,,,société
1106,正,,止,5,1,,,plus grand (de même rang)
1107,生,,生,5,1,,,mi-cuit
1108,成,,戈,6,4,,,être promu (shogi)
1109,西,,襾,6,2,,,Ouest
1110,声,聲,耳,7,2,,,voix
1111,制,,刀,8,5,,,contrôle
1112,姓,,女,8,S,,,nom de famille
1113,征,,彳,8,S,,,assujettissement
1114,性,,心,8,5,,,-ness
1115,青,,靑,8,1,,,vert
1116,斉,齊,齊,8,S,1981.0,,Ch'i
1117,政,,攴,9,5,,,gouvernement
1118,星,,日,9,2,,,étoile
1119,牲,,牛,9,S,,,sacrifice
1120,省,,目,9,4,,,sauver
1121,凄,,冫,10,S,2010.0,,terrible
1122,逝,,辵,10,S,1981.0,,la mort
1123,清,,水,11,4,,,Ch'ing
1124,盛,,皿,11,6,,,portion (de nourriture)
1125,婿,,女,12,S,,,marié(e)
1126,晴,,日,12,2,,,cérémonial
1127,勢,,力,13,5,,,impulsion
1128,聖,,耳,13,6,,,St.
1129,誠,,言,13,6,,,sincérité
1130,精,,米,14,5,,,esprit
1131,製,,衣,14,5,,,faire
1132,誓,,言,14,S,,,vœu
1133,静,靜,靑,14,4,,,calme
1134,請,,言,15,S,,,demande
1135,整,,攴,16,3,,,cérémonie de nomination des fonctionnaires autres que les ministres (depuis la période Heian)
1136,醒,,酉,16,S,2010.0,,éveil
1137,税,,禾,12,5,,,taxe
1138,夕,,夕,3,1,,,"0,033 mètre carré (un centième de tsubo)"
1139,斥,,斤,5,S,,,repousser
1140,石,,石,5,1,,,"mesure de la capacité de chargement d'un bateau de type japonais (environ 278,26 litres)"
1141,赤,,赤,7,1,,,rouge
1142,昔,,日,8,3,,,ancien
1143,析,,木,8,S,,,des claquettes en bois (pour signaler le début ou la fin d'un spectacle)
1144,席,,巾,10,4,,,siège
1145,脊,,肉,10,S,2010.0,,retour
1146,隻,,隹,10,S,,,"compteur pour poissons, oiseaux, flèches, etc."
1147,惜,,心,11,S,,,regret
1148,戚,,戈,11,S,2010.0,,relatif
1149,責,,貝,11,5,,,responsabilité
1150,跡,,足,13,S,,,pistes
1151,積,,禾,16,4,,,volume
1152,績,,糸,17,5,,,réalisation
1153,籍,,竹,20,S,,,le domicile
1154,切,,刀,4,2,,,sérieux
1155,折,,手,7,4,,,plier
1156,拙,,手,8,S,,,moi
1157,窃,竊,穴,9,S,,,vol
1158,接,,手,11,5,,,"joindre (tissu, bois, etc.)"
1159,設,,言,11,5,,,"installation (d'une machine, d'un équipement, etc.)"
1160,雪,,雨,11,2,,,neige
1161,摂,攝,手,13,S,,,(après le radical -masu d'un verbe) continuant
1162,節,節,竹,13,4,,,section (d'une œuvre littéraire)
1163,説,,言,14,4,,,théorie
1164,舌,,舌,6,5,,,langue
1165,絶,絕,糸,12,5,,,octillion (longue échelle)
1166,千,,十,3,1,,,mille
1167,川,,巛,3,1,,,la rivière ....
1168,仙,,人,5,S,1981.0,,assistant
1169,占,,卜,5,S,,,divination
1170,先,,儿,6,1,,,l'avenir
1171,宣,,宀,9,6,,,"Constellation chinoise du ""Cou"" (l'une des 28 demeures)"
1172,専,專,寸,9,6,,,fétichiste de ...
1173,泉,,水,9,6,,,fontaine
1174,浅,淺,水,9,4,,,superficielle
1175,洗,,水,9,6,,,primauté
1176,染,,木,9,6,,,teinture
1177,扇,,戶,10,S,,,ventilateur pliant
1178,栓,,木,10,S,1981.0,,bouchon
1179,旋,,方,11,S,,,tourbillonnant
1180,船,,舟,11,2,,,navire
1181,戦,戰,戈,13,4,,,guerre
1182,煎,,火,13,S,2010.0,,perfusion
1183,羨,,羊,13,S,2010.0,,envie
1184,腺,,肉,13,S,2010.0,,glande
1185,詮,,言,13,S,2010.0,,valeur
1186,践,踐,足,13,S,,,"suivre (par exemple, un ensemble de règles ou de règlements)"
1187,箋,,竹,14,S,2010.0,,feuille (de papier)
1188,銭,錢,金,14,5,,,un millième de kan (en tant qu'unité monétaire)
1189,潜,潛,水,15,S,,,énergie latente
1190,線,,糸,15,2,,,"rayon (par exemple, rayon X)"
